location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Life Expectancy (years) - Men,Life Expectancy (years) - Women,Happiness Score,Fertility Rate (births per woman)
Belarus,697600.0,5561.0,73162.372,583.222,1.17,,,,,,,,,11022249.0,1150.768,0.1221,24.1,7708200.0,4356041.0,3228165.0,114146.0,80.84,45.68,33.86,1.2,43.52,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,31222.4,21.84,39.9,3259.745,72.2,77.0,5.892,1.5
Belgium,2096712.0,28356.0,179883.824,2432.755,1.52,947.0,81.246,3750.0,321.725,,,2257.0,193.635,27361349.0,2356.417,0.175,100.0,21732553.0,8942495.0,8832279.0,4386406.0,186.45,76.72,75.78,37.63,75.93,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,20213.0,15.55,30.07,1740.7869,80.5,83.5,7.409,1.6
Belize,32067.0,597.0,79122.099,1473.037,1.65,,,,,,,,,363915.0,909.717,0.2316,215.9,424634.0,230125.0,199119.0,,104.77,56.78,49.13,,75.93,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,544.4,13.89,82.98,1360.8741,72.2,75.6,5.906,2.5
Benin,25044.0,161.0,1875.553,12.057,0.86,,,,,,,,,,,,,1773592.0,1699784.0,1319264.0,,13.28,12.73,9.88,,50.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,,61.1,67.6,4.923,5.4
Bhutan,2660.0,3.0,3399.548,3.834,1.4,,,,,,,,,1288876.0,1657.748,0.0082,18720.3,1154843.0,589762.0,565081.0,,147.59,75.37,72.22,,81.94,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,-119.399994,-1.99,24.41,-153.56912,68.6,73.9,5.075,2.2
Bolivia,591773.0,19650.0,48410.298,1607.478,1.48,235.0,19.224,2433.0,199.033,,,,,3076104.0,254.656,0.4346,18.3,9792844.0,5635100.0,4593214.0,548041.0,80.11,46.1,37.58,4.48,56.48,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,53088.004,56.24,127.27,4394.8936,69.2,75.1,5.139,3.4
Bosnia and Herzegovina,290471.0,13428.0,89830.928,4152.737,1.74,,,,,,,,,1483234.0,453.458,0.7422,612.7,1553874.0,882641.0,720631.0,22572.0,48.06,27.3,22.29,0.7,45.37,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,19123.201,26.49,102.26,5846.379,74.1,80.6,5.246,1.5
Botswana,222053.0,2452.0,84421.169,932.213,1.43,,,,,,,,,2026898.0,783.063,0.8899,125.6,1128095.0,1169197.0,1033971.0,,42.89,44.45,39.31,,73.15,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,,62.4,69.9,4.517,3.1
Brazil,22263834.0,618817.0,103401.94,2874.028,1.48,,,,,,,,,66100617.0,308.411,,,331273910.0,166195505.0,143436012.0,26571077.0,153.86,77.19,66.62,12.34,76.39,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,666455.6,27.07,83.18,3109.5383,72.9,78.2,6.226,1.8
Brunei,15474.0,61.0,34463.098,135.857,1.57,,,,,,,,,93192.0,209.245,,,898401.0,405888.0,400691.0,,200.09,90.4,89.24,,76.85,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,39.800003,1.11,128.97,89.361496,76.2,78.7,6.298,1.6
